treeID,site,species,status,diameter,age,coring_height,data_source,mort_fact1,mort_fact2,mort_fact_uncertainty,latitude,longitude,reference
X3446,Col_P1,Pinus_contorta,DEAD,15.588,125,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3448,Col_P1,Pinus_contorta,DEAD,21.188,111,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3454,Col_M6,Pinus_contorta,DEAD,27.356,86,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3476,Col_P3,Pinus_flexilis,DEAD,27.664,94,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3477,Col_M3,Pinus_contorta,DEAD,28.956,130,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3480,Col_P3,Pinus_flexilis,DEAD,16.528,58,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3486,Col_P3,Pinus_flexilis,DEAD,22.212,69,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3500,Col_P3,Pinus_flexilis,DEAD,15.508,48,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3508,Col_P3,Pinus_flexilis,DEAD,42.616,105,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3520,Col_P2,Pinus_contorta,DEAD,15.424,96,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3525,Col_P3,Pinus_flexilis,DEAD,21.192,108,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3536,Col_P3,Pinus_flexilis,DEAD,21.308,57,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3543,Col_P3,Pinus_flexilis,DEAD,25.668,62,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3544,Col_P3,Pinus_flexilis,DEAD,26.376,90,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3548,Col_P2,Pinus_contorta,DEAD,21.352,103,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3558,Col_M3,Pinus_contorta,DEAD,47.7,184,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3563,Col_P3,Pinus_flexilis,DEAD,28.996,82,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3576,Col_P3,Pinus_flexilis,DEAD,16.884,74,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3577,Col_M3,Pinus_contorta,DEAD,32.328,189,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3585,Col_P3,Pinus_flexilis,DEAD,27.804,97,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3588,Col_M3,Pinus_contorta,DEAD,40.184,100,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3590,Col_M3,Pinus_contorta,DEAD,28.304,163,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3591,Col_P3,Pinus_flexilis,DEAD,20.24,53,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3594,Col_P3,Pinus_flexilis,DEAD,11.06,50,1.3,complete,D,NS,4,40.19,-106,PinusFlexilis_Smith_2012
X3601,Col_P1,Pinus_contorta,DEAD,24.052,181,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3602,Col_P1,Pinus_contorta,DEAD,20.204,185,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3605,Col_P2,Pinus_contorta,DEAD,14.14,87,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3606,Col_P1,Pinus_contorta,DEAD,18.364,92,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3608,Col_P2,Pinus_contorta,DEAD,28.14,108,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3759,Col_M3,Pinus_contorta,DEAD,20.696,150,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3794,Col_M3,Pinus_contorta,DEAD,30.58,95,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X3796,Col_M3,Pinus_contorta,DEAD,63.212,220,1.3,complete,Bb,NS,4,40.24,-106.6,PinusContorta_Smith_2012
X10504,DP1,Picea_abies,LIVING,34.2002,223,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X10505,DP1,Picea_abies,LIVING,21.0794,190,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X10506,DP1,Picea_abies,LIVING,31.3886,180,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X11504,DP1,Picea_abies,LIVING,NA,278,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X11505,DP1,Picea_abies,LIVING,34.2002,118,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X12504,DP1,Picea_abies,LIVING,NA,NA,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X12505,DP1,Picea_abies,LIVING,NA,239,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X12506,DP1,Picea_abies,LIVING,NA,122,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X20504,DP2,Picea_abies,LIVING,21.0794,153,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X20506,DP2,Picea_abies,LIVING,36.0746,199,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X21506,DP2,Picea_abies,LIVING,NA,178,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X22504,DP2,Picea_abies,LIVING,NA,NA,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X22505,DP2,Picea_abies,LIVING,NA,138,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X22506,DP2,Picea_abies,LIVING,NA,243,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X30505,DP3,Picea_abies,LIVING,33.263,245,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X31004,DP3,Picea_abies,LIVING,18.2678,201,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X31005,DP3,Picea_abies,LIVING,14.519,170,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X31006,DP3,Picea_abies,LIVING,16.3934,200,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X31504,DP3,Picea_abies,LIVING,NA,200,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X31505,DP3,Picea_abies,LIVING,NA,179,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X31506,DP3,Picea_abies,LIVING,NA,170,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X32506,DP3,Picea_abies,LIVING,NA,252,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X40504,DP4,Picea_abies,LIVING,NA,202,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X41504,DP4,Picea_abies,LIVING,20.1422,168,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X41505,DP4,Picea_abies,LIVING,14.519,119,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X41506,DP4,Picea_abies,LIVING,33.263,165,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X42504,DP4,Picea_abies,LIVING,14.519,158,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X42505,DP4,Picea_abies,LIVING,25.7654,208,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X42506,DP4,Picea_abies,LIVING,44.5094,239,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X43505,DP4,Picea_abies,LIVING,16.3934,208,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X50504,DP5,Picea_abies,LIVING,NA,143,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X50505,DP5,Picea_abies,LIVING,NA,168,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X50506,DP5,Picea_abies,LIVING,NA,166,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X51505,DP5,Picea_abies,LIVING,NA,184,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X52504,DP5,Picea_abies,LIVING,NA,125,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X53504,DP5,Picea_abies,LIVING,NA,125,1.3_6,complete,D,Bb,2,63,44.17,PiceaAbies_Aakala_2011
X1_1_D,Flagstaff_1,Pinus_ponderosa,DEAD,30,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_1_L,Flagstaff_1,Pinus_ponderosa,LIVING,32,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_2_D,Flagstaff_1,Pinus_ponderosa,DEAD,16.5,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_2_L,Flagstaff_1,Pinus_ponderosa,LIVING,18,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_4_D,Flagstaff_1,Pinus_ponderosa,DEAD,24.8,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_4_L,Flagstaff_1,Pinus_ponderosa,LIVING,25,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_5_D,Flagstaff_1,Pinus_ponderosa,DEAD,50.5,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_5_L,Flagstaff_1,Pinus_ponderosa,LIVING,49.6,NA,1.3,partial,Bb,NS,4,34.92,-111.54,PinusPonderosa_Kane_2010
X1_MFO_SS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,32,62,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X10_MFO_SS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,30.5,NA,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X100_MFO_NS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,NA,80,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X101_MFO_NS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,NA,88,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X102_MFO_NS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,32.9,82,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X103_MFO_NS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,NA,69,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X104_MFO_NS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,NA,79,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X1045a,Swiss_National_Park_Engadine_Valley,Pinus_mugo,DEAD,NA,172,1,complete,Fungi,NS,4,46.66,10.23,PinusMugo_Cherubini_2002
X105_MFO_NS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,35.2,92,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X106_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,22.7,75,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X107_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,27.5,70,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X108_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,21.5,75,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X109_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,22,76,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X10-A-2_S,Megantic,Abies_balsamea,LIVING,23,89,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-A-3_SM,Megantic,Abies_balsamea,DEAD,13.5,44,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-B-2_SM,Megantic,Abies_balsamea,DEAD,20.3,60,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-B-3_S,Megantic,Abies_balsamea,DEAD,15.6,98,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-B-4_S,Megantic,Abies_balsamea,DEAD,14.8,73,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-B-5_S,Megantic,Abies_balsamea,DEAD,16.5,65,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-C-4_S,Megantic,Abies_balsamea,LIVING,15.1,70,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-C-5_S,Megantic,Abies_balsamea,LIVING,18.2,71,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10D_AC,SFP,Abies_concolor,DEAD,19.3,NA,1.3,partial,D,NS,4,35.34,-111.29,AbiesConcolor_Kane&Kolb_2014
X10D_PF,SFP,Pinus_flexilis,DEAD,28.7,NA,1.3,partial,D,NS,4,35.34,-111.29,PinusFlexilis_Kane&Kolb_2014
X10D_PM,SIT,Pseudotsuga_menziesii,DEAD,12.8,NA,1.3,partial,D,NS,4,33.64,-109.29,PseudotsugaMenziesii_Kane&Kolb_2014
X10D_PT,SIT,Populus_tremuloides,DEAD,16.9,NA,1.3,partial,D,NS,4,35.34,-111.29,PopulusTremuloides_Kane&Kolb_2014
X10-D-3_SM,Megantic,Abies_balsamea,DEAD,22.1,73,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-D-4_SM,Megantic,Abies_balsamea,DEAD,21.6,77,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-D-5_SM,Megantic,Abies_balsamea,DEAD,18.9,81,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-D-6_NE,Megantic,Abies_balsamea,LIVING,30,85,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-E-3_S,Megantic,Abies_balsamea,LIVING,23.6,89,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-E-4,Megantic,Abies_balsamea,LIVING,5,48,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-F-3_SE,Megantic,Abies_balsamea,LIVING,7.5,56,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10-F-5_NE,Megantic,Abies_balsamea,LIVING,6.7,32,0.3,complete,Def,NS,4,45.45,-71.15,AbiesBalsamea_Fillon_1998-2006
X10L_AC,SFP,Abies_concolor,LIVING,18.83,NA,1.3,partial,D,NS,4,35.34,-111.29,AbiesConcolor_Kane&Kolb_2014
X10L_PF,SFP,Pinus_flexilis,LIVING,31.71,NA,1.3,partial,D,NS,4,35.34,-111.29,PinusFlexilis_Kane&Kolb_2014
X10L_PM,SIT,Pseudotsuga_menziesii,LIVING,11.75,NA,1.3,partial,D,NS,4,33.64,-109.29,PseudotsugaMenziesii_Kane&Kolb_2014
X10L_PT,SIT,Populus_tremuloides,LIVING,17.26,NA,1.3,partial,D,NS,4,35.34,-111.29,PopulusTremuloides_Kane&Kolb_2014
X11_MFO_SS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,45.8,NA,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X110_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,20,73,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X1108a,Swiss_National_Park_Engadine_Valley,Pinus_mugo,DEAD,NA,170,1,complete,Fungi,NS,4,46.66,10.23,PinusMugo_Cherubini_2002
X111_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,22.3,79,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X112_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,21.8,73,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X113_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,27.2,77,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X114_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,22.1,77,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X115_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,27.9,70,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X116_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,17,76,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X117_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,23.3,73,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X118_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,30.1,76,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X119_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,21.8,78,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X11D_AC,BWM,Abies_concolor,DEAD,19.3,NA,1.3,partial,D,NS,4,35.24,-112.19,AbiesConcolor_Kane&Kolb_2014
X11D_PF,SIT,Pinus_flexilis,DEAD,31.8,NA,1.3,partial,D,NS,4,33.64,-109.29,PinusFlexilis_Kane&Kolb_2014
X11D_PM,SIT,Pseudotsuga_menziesii,DEAD,14,NA,1.3,partial,D,NS,4,33.64,-109.29,PseudotsugaMenziesii_Kane&Kolb_2014
X11D_PT,SIT,Populus_tremuloides,DEAD,17.5,NA,1.3,partial,D,NS,4,35.34,-111.29,PopulusTremuloides_Kane&Kolb_2014
X11L_AC,BWM,Abies_concolor,LIVING,18.44,NA,1.3,partial,D,NS,4,35.24,-112.19,AbiesConcolor_Kane&Kolb_2014
X11L_PF,SIT,Pinus_flexilis,LIVING,29.38,NA,1.3,partial,D,NS,4,33.64,-109.29,PinusFlexilis_Kane&Kolb_2014
X11L_PM,SIT,Pseudotsuga_menziesii,LIVING,12.64,NA,1.3,partial,D,NS,4,33.64,-109.29,PseudotsugaMenziesii_Kane&Kolb_2014
X11L_PT,SIT,Populus_tremuloides,LIVING,17.42,NA,1.3,partial,D,NS,4,35.34,-111.29,PopulusTremuloides_Kane&Kolb_2014
X12_MFO_SS,Mule_Farm-Ozarks,Quercus_rubra,LIVING,44.6,77,1.3,complete,D,Bb,2,35.78,-93.81,QuercusRubra_Haavik_2011
X120_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,24,71,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X121_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,20.4,78,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X122_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,21.5,NA,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X123_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,18.4,73,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X124_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,22.6,70,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X125_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,19.9,68,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X126_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,34.4,77,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X127_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,21.3,71,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X128_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,26.6,83,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X129_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,20.3,NA,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X1299a,Swiss_National_Park_Engadine_Valley,Pinus_mugo,DEAD,NA,164,1,complete,Fungi,NS,4,46.66,10.23,PinusMugo_Cherubini_2002
X12D_AC,BWM,Abies_concolor,DEAD,20.1,NA,1.3,partial,D,NS,4,35.24,-112.19,AbiesConcolor_Kane&Kolb_2014
X12D_PF,SIT,Pinus_flexilis,DEAD,32,NA,1.3,partial,D,NS,4,33.64,-109.29,PinusFlexilis_Kane&Kolb_2014
X12D_PM,SIT,Pseudotsuga_menziesii,DEAD,14,NA,1.3,partial,D,NS,4,33.64,-109.29,PseudotsugaMenziesii_Kane&Kolb_2014
X12D_PT,SFP,Populus_tremuloides,DEAD,17.8,NA,1.3,partial,D,NS,4,33.64,-109.29,PopulusTremuloides_Kane&Kolb_2014
X12L_AC,BWM,Abies_concolor,LIVING,19.51,NA,1.3,partial,D,NS,4,35.24,-112.19,AbiesConcolor_Kane&Kolb_2014
X12L_PF,SIT,Pinus_flexilis,LIVING,30.65,NA,1.3,partial,D,NS,4,33.64,-109.29,PinusFlexilis_Kane&Kolb_2014
X12L_PM,SIT,Pseudotsuga_menziesii,LIVING,13.03,NA,1.3,partial,D,NS,4,33.64,-109.29,PseudotsugaMenziesii_Kane&Kolb_2014
X12L_PT,SFP,Populus_tremuloides,LIVING,16.79,NA,1.3,partial,D,NS,4,33.64,-109.29,PopulusTremuloides_Kane&Kolb_2014
X130_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,30,75,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X1300a,Swiss_National_Park_Engadine_Valley,Pinus_mugo,DEAD,NA,165,1,complete,Fungi,NS,4,46.66,10.23,PinusMugo_Cherubini_2002
X131_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,18.4,65,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X132_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,27.6,69,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X133_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,23.7,74,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X134_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,23.1,69,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X135_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,22.9,68,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
X136_RSO_SS,Red_Star-Ozarks,Quercus_rubra,LIVING,38,92,1.3,complete,D,Bb,2,35.88,-93.52,QuercusRubra_Haavik_2011
